assigned_to,id,doi_link,manuscript_type,novel_biologging,biologging_context,external_data,device_cat,genus,species,habitat,more_species,biologging_availability,conserv*,note,authors,title,source,year,volume,issue,doi,pub_type,source_sheet,access?,reviewed
mfc,horback2012,doi.org/10.1016/j.applanim.2012.09.010,S,TRUE,C,N,L,Loxodonta,africana,T,N,N,N,NA,"Horback, KM; Miller, LJ; Andrews, J; Kuczaj, SA; Anderson, M",The effects of GPS collars on African elephant (Loxodonta africana) behavior at the San Diego Zoo Safari Park,APPLIED ANIMAL BEHAVIOUR SCIENCE,2012,142,1672617600,10.1016/j.applanim.2012.09.010,J,mfc,NA,TRUE
mfc,marchand2014b,doi.org/10.1016/j.biocon.2014.05.022,S,TRUE,D,Y,L,Ovis,aries,T,N,N,Y,NA,"Marchand, P; Garel, M; Bourgoin, G; Dubray, D; Maillard, D; Loison, A",Impacts of tourism and hunting on a large herbivore's spatio-temporal behavior in and around a French protected area,BIOLOGICAL CONSERVATION,2014,177,NA,10.1016/j.biocon.2014.05.022,J,mfc,NA,TRUE
mfc,shakeri2021,doi.org/10.1002/ece3.7893,S,TRUE,W,N,L,Oreamnos,americanus,T,N,Y,Y,NA,"Shakeri, YN; White, KS; Waite, JN",Staying close to home: Ecological constraints on space use and range fidelity in a mountain ungulate,ECOLOGY AND EVOLUTION,2021,11,16,10.1002/ece3.7893,J,mfc,NA,TRUE
mfc,ranglack2022,doi.org/10.1002/ecs2.4311,S,TRUE,W,Y,L,Cervus,elaphus,T,N,Y,N,NA,"Ranglack, DH; Proffitt, KM; Canfield, JE; Gude, JA; Rotella, J; Garrott, RA",Modeling broad-scale patterns of elk summer resource selection in Montana using regional and population-specific models,ECOSPHERE,2022,13,12,10.1002/ecs2.4311,J,mfc,NA,TRUE
mfc,ruizsuarez2022,doi.org/10.1007/s13253-021-00483-x,M,TRUE,D,N,I,Ovis,aries,T,N,Y,N,Data on figshare,"Ruiz-Suarez, S; Leos-Barajas, V; Morales, JM",Hidden Markov and Semi-Markov Models When and Why are These Models Useful for Classifying States in Time Series Data?,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,2022,27,2,10.1007/s13253-021-00483-x,J,mfc,NA,TRUE
mfc,white2022,doi.org/10.1186/s40317-022-00305-y,S,TRUE,W,N,LIE,Ginglymostoma,cirratum,M,N,Y,N,NA,"White, CF; Pratt, HL; Pratt, TC; Whitney, NM",Interspecific foraging association of a nurse shark (Ginglymostoma cirratum) with bottlenose dolphins (Tursiops truncatus),ANIMAL BIOTELEMETRY,2022,10,1,10.1186/s40317-022-00305-y,J,mfc,NA,TRUE
mfc,blake2009,doi.org/10.1111/j.1744-7429.2009.00512.x,S,TRUE,W,N,L,Loxodonta,cyclotis,T,N,N,Y,"Taxon described as Loxodonta africana cyclotis in text, a subspecies, but ITIS considers Loxodonta cyclotis a species","Blake, S; Deem, SL; Mossimbo, E; Maisels, F; Walsh, P",Forest Elephants: Tree Planters of the Congo,BIOTROPICA,2009,41,4,10.1111/j.1744-7429.2009.00512.x,J,mfc,NA,TRUE
mfc,mullen2013,doi.org/10.1016/j.applanim.2013.01.013,S,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""During the study period the farm was used by three badgers, collared in a satellite tracking study reported elsewhere (MacWhite et al., in press)""","Mullen, EM; MacWhite, T; Maher, PK; Kelly, DJ; Marples, NM; Good, M",Foraging Eurasian badgers Meles meles and the presence of cattle in pastures. Do badgers avoid cattle?,APPLIED ANIMAL BEHAVIOUR SCIENCE,2013,144,1677888000,10.1016/j.applanim.2013.01.013,J,mfc,NA,TRUE
mfc,masello2023,doi.org/10.1007/s00265-023-03306-w,S,TRUE,W,N,LI,Columba,palumbus,T,N,Y,Y,NA,"Masello, JF; Rast, W; Schumm, YR; Metzger, B; Quillfeldt, P",Year-round behavioural time budgets of common woodpigeons inferred from acceleration data using machine learning,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2023,77,4,10.1007/s00265-023-03306-w,J,mfc,NA,TRUE
mfc,carlsen2023,doi.org/10.1111/eth.13362,S,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data originally published in carlsen2021,"Carlsen, AA; Lorentsen, SH; Mattisson, J; Wright, J",Temporal non-independence of foraging dive and surface duration sequences in the European shag Gulosus aristotelis,ETHOLOGY,2023,129,6,10.1111/eth.13362,J,mfc,NA,TRUE
mfc,togunov2017,doi.org/10.1038/srep46332,S,TRUE,W,Y,L,Ursus,maritimus,M,N,N,N,Wind data from NCEP,"Togunov, RR; Derocher, AE; Lunn, NJ",Windscapes and olfactory foraging in a large carnivore,SCIENTIFIC REPORTS,2017,7,NA,10.1038/srep46332,J,mfc,NA,TRUE
mfc,merkle2023,doi.org/10.1111/1365-2664.14473,M,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merkle, JA; Lowrey, B; Wallace, CF; Hall, LE; Wilde, L; Kauffman, MJ; Sawyer, H",Conserving habitat for migratory ungulates: How wide is a migration corridor?,JOURNAL OF APPLIED ECOLOGY,2023,NA,NA,10.1111/1365-2664.14473,J,mfc,NA,TRUE
